Name,Industry,Sector,Headquarters,Founded,Notes
SUPARCO,Industrials,"Aerospace,Space Industry",Karachi,1961,State-owned aerospace & atmospheric research agency
Super Asia Group,Conglomerates,-,Gujranwala,1975,"Automobiles, durable household products, fast food chains, home appliances"
Systems Ltd,Technology,Software,Lahore,1977,Software exporters
Tapal Tea,Consumer goods,Beverages,Karachi,1947,Tea marketing
TCS Courier,Transportation,Delivery Services,Karachi,2000,Courier service
The Express Tribune,Consumer services,Publishing,Karachi,2010,"Newspaper (English), part of Lakson Group"
Total Parco,Energy,Oil Marketing,Karachi,2002,"Retail fuel marketing, joint venture of TotalEnergies (France) & Pak-Arab Refinery (Pakistan/UAE)"
TPL Properties,Real Estate,Real Estate Holding and Development,Karachi,2007,Real estate developer
TPS Pakistan,Technology,Software and Computer Services,Karachi,1996,"E-Commerce, financial solutions, IT services, software, consulting"
Transworld Associates,Telecommunications,Telecommunications Service Providers,Islamabad,1980,"Submarine communication cable, internet"
Treet Corporation,Conglomerates,-,Lahore,1952,"Automotive batteries, packaging products, personal care products, pharmaceutical, trading"
TRG Pakistan,Industrials,Professional Business Support Services,Karachi,2002,"Business Process Outsourcing (BPO), consulting"
Tuwairqi Steel Mills,Basic materials,Iron and Steel,Karachi,1979[20],"Steel, joint venture of Arif Habib Group & Al-Tuwairqi Holdings (Saudi Arabia), POSCO (South Korea)"
Ufone,Telecommunications,Telecommunications Services,Islamabad,2001,"Mobile networks, owned by PTCL"
Union Bank,Financials,Banks,Karachi,1991,"Bank, defunct 2006, merged into Standard Chartered Pakistan"
United Auto Industries,Consumer goods,Automobiles,Lahore,1999,"Autorickshaws, cars & motorcycles manufacturer"
United Bank,Financials,Banks,Karachi,1959,Commercial bank
Unity Foods,Consumer goods,Food Producers,Karachi,1991,"Cooking Oil & ghee, staples, owned by Wilmar International (Singapore)"
Utility Stores Corporation,Consumer services,Food Retailers and Wholesalers,Islamabad,1973,State-owned retail chain stores
Volvo Pakistan,Industrials,Commercial Vehicles and Parts,Karachi,1985,"Commercial vehicles manufacturer, joint venture of Panasian Group & Volvo (Sweden)"
Water and Power Development Authority,Utilities,"Conventional Electricity,Water",Lahore,1958,State-owned hydropower development & water management
wi-tribe,Telecommunications,Telecommunications Service Providers,Islamabad,2007,Internet
WorldCall,Telecommunications,Telecommunications Service Providers,Lahore,1996,"Fixed-line telecommunications & internet, owned by Omantel (Oman)"
Yamaha Motor Pakistan,Consumer goods,Automobiles,Karachi,2015,"Motorcycles manufacturer, subsidiary of Yamaha Motor (Japan)"
Yousuf Dewan Companies,Conglomerates,-,Karachi,1912,"Automobiles, cement, chemicals, industrials, sugar mills, textiles"
Zarai Taraqiati Bank,Financials,Banks,Islamabad,1961,Government agricultural support bank
Zong,Telecommunications,Telecommunications Services,Islamabad,2008,"Mobile networks, owned by China Mobile (China), previously known as Paktel"
